route_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
1,1,Bronzeville/Union Station,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=158,,
2,2,Hyde Park Express,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=159,,
3,3,King Drive,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=160,,
4,4,Cottage Grove,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=162,,
5,5,South Shore Night Bus,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=164,,
6,6,Jackson Park Express,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=165,,
7,7,Harrison,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=166,,
8,8,Halsted,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=167,,
8A,8A,South Halsted,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=168,,
9,9,Ashland,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=169,,
X9,X9,Ashland Express,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=170,,
10,10,Museum of S & I,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=171,,
11,11,Lincoln,bus,http://www.transitchicago.com/bus/11/,,
12,12,Roosevelt,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=173,,
J14,J14,Jeffery Jump,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=174,,
15,15,Jeffery Local,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=175,,
18,18,16th-18th,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=177,,
19,19,United Center Express,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=325,,
20,20,Madison,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=178,,
21,21,Cermak,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=180,,
22,22,Clark,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=181,,
24,24,Wentworth,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=182,,
26,26,South Shore Express,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=183,,
28,28,Stony Island,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=184,,
29,29,State,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=186,,
31,31,31st,bus,http://www.transitchicago.com/bus/31/,,
30,30,South Chicago,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=187,,
34,34,South Michigan,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=189,,
35,35,35th,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=190,,
36,36,Broadway,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=191,,
37,37,Sedgwick,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=335,,
39,39,Pershing,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=193,,
43,43,43rd,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=194,,
44,44,Wallace-Racine,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=195,,
47,47,47th,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=196,,
48,48,South Damen,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=197,,
49,49,Western,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=198,,
49B,49B,North Western,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=200,,
X49,X49,Western Express,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=201,,
50,50,Damen,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=202,,
51,51,51st,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=203,,
52,52,Kedzie/California,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=204,,
52A,52A,South Kedzie,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=205,,
53,53,Pulaski,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=206,,
53A,53A,South Pulaski,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=207,,
54,54,Cicero,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=209,,
54A,54A,North Cicero/Skokie Blvd.,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=210,,
54B,54B,South Cicero,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=211,,
55,55,Garfield,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=213,,
55A,55A,55th/Austin,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=214,,
55N,55N,55th/Narragansett,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=215,,
56,56,Milwaukee,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=217,,
57,57,Laramie,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=219,,
59,59,59th/61st,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=220,,
60,60,Blue Island/26th,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=221,,
62,62,Archer,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=222,,
62H,62H,Archer/Harlem,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=223,,
63,63,63rd,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=224,,
63W,63W,West 63rd,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=225,,
65,65,Grand,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=227,,
66,66,Chicago,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=228,,
67,67,67th-69th-71st,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=229,,
68,68,Northwest Highway,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=230,,
70,70,Division,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=232,,
71,71,71st South Shore,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=233,,
72,72,North,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=234,,
73,73,Armitage,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=235,,
74,74,Fullerton,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=236,,
75,75,74th-75th,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=237,,
76,76,Diversey,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=238,,
77,77,Belmont,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=239,,
78,78,Montrose,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=240,,
79,79,79th,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=241,,
80,80,Irving Park,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=242,,
81,81,Lawrence,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=244,,
81W,81W,West Lawrence,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=245,,
82,82,Kimball-Homan,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=246,,
84,84,Peterson,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=247,,
95,95,95th,bus,http://www.transitchicago.com/bus/95/,,
85,85,Central,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=248,,
85A,85A,North Central,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=249,,
86,86,Narragansett/Ridgeland,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=250,,
87,87,87th,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=251,,
88,88,Higgins,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=252,,
90,90,Harlem,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=253,,
91,91,Austin,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=255,,
92,92,Foster,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=256,,
93,93,California/Dodge,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=257,,
94,94,South California,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=258,,
96,96,Lunt,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=261,,
97,97,Skokie,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=262,,
X98,X98,Avon Express,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=263,,
100,100,Jeffery Manor Express,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=264,,
103,103,West 103rd,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=265,,
106,106,East 103rd,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=266,,
108,108,Halsted/95th,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=267,,
111,111,111th/King Drive,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=268,,
111A,111A,Pullman Shuttle,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=347,,
112,112,Vincennes/111th,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=269,,
115,115,Pullman/115th,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=336,,
119,119,Michigan/119th,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=270,,
120,120,Ogilvie/Wacker Express,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=271,,
121,121,Union/Wacker Express,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=272,,
124,124,Navy Pier,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=275,,
125,125,Water Tower Express,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=276,,
126,126,Jackson,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=277,,
132,132,Goose Island Express,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=279,,
130,130,Museum Campus,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=327,,
134,134,Stockton/LaSalle Express,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=280,,
135,135,Clarendon/LaSalle Express,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=281,,
136,136,Sheridan/LaSalle Express,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=282,,
143,143,Stockton/Michigan Express,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=283,,
146,146,Inner Drive/Michigan Express,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=286,,
147,147,Outer Drive Express,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=287,,
148,148,Clarendon Michigan Express,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=288,,
151,151,Sheridan,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=289,,
152,152,Addison,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=290,,
155,155,Devon,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=291,,
156,156,LaSalle,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=292,,
157,157,Streeterville/Taylor,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=293,,
165,165,West 65th,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=294,,
169,169,69th-UPS Express,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=296,,
171,171,U. of Chicago/Hyde Park,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=298,,
172,172,U. of Chicago/Kenwood,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=299,,
192,192,University of Chicago Hosp. Exp.,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=302,,
201,201,Central/Ridge,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=304,,
205,205,Chicago/Golf,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=305,,
206,206,Evanston Circulator,bus,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=306,,
Red,red,Red Line,train,http://www.transitchicago.com/riding_cta/systemguide/redline.aspx,C60C30,FFFFFF
P,purple,Purple Line,train,http://www.transitchicago.com/riding_cta/systemguide/purpleline.aspx,522398,FFFFFF
Y,yellow,Yellow Line,train,http://www.transitchicago.com/riding_cta/systemguide/yellowline.aspx,F9E300,0
Blue,blue,Blue Line,train,http://www.transitchicago.com/riding_cta/systemguide/blueline.aspx,00A1DE,FFFFFF
Pink,pink,Pink Line,train,http://www.transitchicago.com/riding_cta/systemguide/pinkline.aspx,E27EA6,FFFFFF
G,green,Green Line,train,http://www.transitchicago.com/riding_cta/systemguide/greenline.aspx,009B3A,FFFFFF
Org,orange,Orange Line,train,http://www.transitchicago.com/riding_cta/systemguide/orangeline.aspx,F9461C,FFFFFF
Brn,brown,Brown Line,train,http://www.transitchicago.com/riding_cta/systemguide/brownline.aspx,62361B,FFFFFF